count,date
695,2020-01-01 00:00:00
713,2020-01-02 00:00:00
530,2020-01-03 00:00:00
434,2020-01-04 00:00:00
449,2020-01-05 00:00:00
774,2020-01-06 00:00:00
1001,2020-01-07 00:00:00
680,2020-01-08 00:00:00
866,2020-01-09 00:00:00
586,2020-01-10 00:00:00
397,2020-01-11 00:00:00
522,2020-01-12 00:00:00
613,2020-01-13 00:00:00
735,2020-01-14 00:00:00
1453,2020-01-15 00:00:00
928,2020-01-16 00:00:00
872,2020-01-17 00:00:00
390,2020-01-18 00:00:00
375,2020-01-19 00:00:00
1100,2020-01-20 00:00:00
1637,2020-01-21 00:00:00
1758,2020-01-22 00:00:00
2363,2020-01-23 00:00:00
1812,2020-01-24 00:00:00
1436,2020-01-25 00:00:00
1236,2020-01-26 00:00:00
2496,2020-01-27 00:00:00
2865,2020-01-28 00:00:00
2498,2020-01-29 00:00:00
2188,2020-01-30 00:00:00
2513,2020-01-31 00:00:00
1164,2020-02-01 00:00:00
1110,2020-02-02 00:00:00
1607,2020-02-03 00:00:00
1353,2020-02-04 00:00:00
1506,2020-02-05 00:00:00
1676,2020-02-06 00:00:00
1906,2020-02-07 00:00:00
1761,2020-02-08 00:00:00
1248,2020-02-09 00:00:00
2214,2020-02-10 00:00:00
2162,2020-02-11 00:00:00
2007,2020-02-12 00:00:00
2262,2020-02-13 00:00:00
1960,2020-02-14 00:00:00
1982,2020-02-15 00:00:00
1812,2020-02-16 00:00:00
2086,2020-02-17 00:00:00
2228,2020-02-18 00:00:00
2576,2020-02-19 00:00:00
1746,2020-02-20 00:00:00
1900,2020-02-21 00:00:00
1272,2020-02-22 00:00:00
1882,2020-02-23 00:00:00
2125,2020-02-24 00:00:00
2419,2020-02-25 00:00:00
3521,2020-02-26 00:00:00
2841,2020-02-27 00:00:00
3347,2020-02-28 00:00:00
2055,2020-02-29 00:00:00
2280,2020-03-01 00:00:00
3506,2020-03-02 00:00:00
3907,2020-03-03 00:00:00
4189,2020-03-04 00:00:00
3901,2020-03-05 00:00:00
3498,2020-03-06 00:00:00
1907,2020-03-07 00:00:00
2118,2020-03-08 00:00:00
4162,2020-03-09 00:00:00
4172,2020-03-10 00:00:00
4241,2020-03-11 00:00:00
3944,2020-03-12 00:00:00
4154,2020-03-13 00:00:00
3060,2020-03-14 00:00:00
4573,2020-03-15 00:00:00
3939,2020-03-16 00:00:00
5137,2020-03-17 00:00:00
4217,2020-03-18 00:00:00
5180,2020-03-19 00:00:00
4687,2020-03-20 00:00:00
4631,2020-03-21 00:00:00
2944,2020-03-22 00:00:00
5267,2020-03-23 00:00:00
5922,2020-03-24 00:00:00
6005,2020-03-25 00:00:00
6298,2020-03-26 00:00:00
5552,2020-03-27 00:00:00
3988,2020-03-28 00:00:00
3719,2020-03-29 00:00:00
5184,2020-03-30 00:00:00
6280,2020-03-31 00:00:00
6766,2020-04-01 00:00:00
8910,2020-04-02 00:00:00
9855,2020-04-03 00:00:00
5573,2020-04-04 00:00:00
5423,2020-04-05 00:00:00
8593,2020-04-06 00:00:00
8268,2020-04-07 00:00:00
9187,2020-04-08 00:00:00
7314,2020-04-09 00:00:00
7289,2020-04-10 00:00:00
5353,2020-04-11 00:00:00
5184,2020-04-12 00:00:00
7399,2020-04-13 00:00:00
7491,2020-04-14 00:00:00
10396,2020-04-15 00:00:00
9181,2020-04-16 00:00:00
8035,2020-04-17 00:00:00
5902,2020-04-18 00:00:00
4725,2020-04-19 00:00:00
7709,2020-04-20 00:00:00
7476,2020-04-21 00:00:00
8331,2020-04-22 00:00:00
8946,2020-04-23 00:00:00
9296,2020-04-24 00:00:00
4994,2020-04-25 00:00:00
4843,2020-04-26 00:00:00
7799,2020-04-27 00:00:00
9872,2020-04-28 00:00:00
8919,2020-04-29 00:00:00
9138,2020-04-30 00:00:00
9424,2020-05-01 00:00:00
6030,2020-05-02 00:00:00
5550,2020-05-03 00:00:00
11555,2020-05-04 00:00:00
12844,2020-05-05 00:00:00
13048,2020-05-06 00:00:00
11012,2020-05-07 00:00:00
9484,2020-05-08 00:00:00
5334,2020-05-09 00:00:00
5429,2020-05-10 00:00:00
10276,2020-05-11 00:00:00
10140,2020-05-12 00:00:00
10027,2020-05-13 00:00:00
